sample_id,article_group,mask_fraction,replicate,reported_setting_count,masked_keys
l121-s8-nelson-2005,article:l121,0.5,0,17,"[""additive#0:additive"", ""additive#1:additive"", ""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""drying evaporation#2:temperature"", ""drying evaporation#2:time"", ""heating#0:time"", ""mixing#0:mixing method"", ""mixing#0:temperature""]"
l121-s8-nelson-2005,article:l121,0.5,1,17,"[""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""drying evaporation#1:temperature"", ""drying evaporation#1:time"", ""drying evaporation#2:time"", ""heating#0:temperature"", ""heating#0:time"", ""mixing#0:temperature""]"
l121-s8-nelson-2005,article:l121,0.5,2,17,"[""additive#1:additive"", ""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""drying evaporation#1:ambient condition"", ""drying evaporation#1:temperature"", ""heating#0:time"", ""mixing#0:mixing method"", ""mixing#0:temperature"", ""mixing#1:temperature""]"
l121-s8-nelson-2005,article:l121,0.75,0,17,"[""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""drying evaporation#1:ambient condition"", ""drying evaporation#1:temperature"", ""drying evaporation#1:time"", ""drying evaporation#2:temperature"", ""drying evaporation#2:time"", ""heating#0:temperature"", ""mixing#0:mixing method"", ""mixing#0:temperature"", ""mixing#1:mixer"", ""mixing#1:mixing method""]"
l121-s8-nelson-2005,article:l121,0.75,1,17,"[""additive#0:additive"", ""additive#1:additive"", ""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""drying evaporation#1:ambient condition"", ""drying evaporation#1:temperature"", ""drying evaporation#2:temperature"", ""drying evaporation#2:time"", ""heating#0:time"", ""mixing#0:mixing method"", ""mixing#1:mixer"", ""mixing#1:mixing method"", ""mixing#1:temperature""]"
l121-s8-nelson-2005,article:l121,0.75,2,17,"[""additive#0:additive"", ""additive#1:additive"", ""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""drying evaporation#1:ambient condition"", ""drying evaporation#1:time"", ""drying evaporation#2:temperature"", ""drying evaporation#2:time"", ""heating#0:temperature"", ""mixing#0:temperature"", ""mixing#1:mixer"", ""mixing#1:mixing method"", ""mixing#1:temperature""]"
l379-s8-liu-2017,article:l379,0.25,0,13,"[""additive#1:additive"", ""curing#0:ambient condition"", ""mixing#0:mixing method"", ""solvent#0:solvent name""]"
l379-s8-liu-2017,article:l379,0.25,1,13,"[""curing#0:pressure"", ""curing#0:time"", ""mixing#0:rotational frequency"", ""mixing#0:temperature""]"
l379-s8-liu-2017,article:l379,0.25,2,13,"[""curing#0:temperature"", ""mixing#0:mixer"", ""mixing#0:temperature"", ""solvent#0:solvent name""]"
l379-s8-liu-2017,article:l379,0.5,0,13,"[""additive#0:additive"", ""additive#2:additive"", ""curing#0:pressure"", ""mixing#0:mixer"", ""mixing#0:mixing method"", ""mixing#0:temperature"", ""mixing#0:time""]"
l379-s8-liu-2017,article:l379,0.5,1,13,"[""additive#0:additive"", ""additive#1:additive"", ""curing#0:ambient condition"", ""curing#0:temperature"", ""curing#0:time"", ""mixing#0:mixer"", ""mixing#0:time""]"
l379-s8-liu-2017,article:l379,0.5,2,13,"[""additive#1:additive"", ""curing#0:pressure"", ""curing#0:temperature"", ""curing#0:time"", ""mixing#0:mixer"", ""mixing#0:mixing method"", ""mixing#0:time""]"
l379-s8-liu-2017,article:l379,0.75,0,13,"[""additive#0:additive"", ""additive#1:additive"", ""additive#2:additive"", ""curing#0:ambient condition"", ""curing#0:pressure"", ""curing#0:time"", ""mixing#0:mixer"", ""mixing#0:rotational frequency"", ""mixing#0:temperature"", ""solvent#0:solvent name""]"
